Mineral Name	reference to the mineral
Anorthite 100 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
En53 former53	Weber et al., EPSL 569, 117072.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
10BD3 Dark4-	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Olivine 10%Px	Weber et al., EPSL 569, 117072.
Chelyabinsk Dark	Morlok et al.(2017) Icarus 284, 431-442.
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
RB-2 vdK	Morlok et al.(2017) Icarus 123-138.
Ol135 former135	Weber et al., EPSL 569, 117072.
NP HMg vdK	Morlok et al.(2017) Icarus 123-138.
Anorthite 100 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Apollo 61220,41	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Acfer 182 PL 01267	Bischoff et a., 2021, The old, unique C1 chondrite Flensburg â€“ Insight into the first processes of aqueous alteration, brecciation, and the diversity of water-bearing parent bodies and lithologies, https://doi.org/10.1016/j.gca.2020.10.014.
IC Pep	Morlok et al.(2017) Icarus 123-138.
PD vdK	Morlok et al.(2017) Icarus 123-138.
HaH 280	Morlok et al. (2020) Planetary and Space Science 193, 105078.
AubriteNC14026-13	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
